"num_ticket","date_creation","status","reponse_client"
"COSPA-3355","2025-12-03 13:49:47","en cours","Non"
"COSPA-3350","2025-12-03 13:39:44","en attente","Non"
"COSPA-3339","2025-12-03 12:44:20","en attente","Non"
"COSPA-3338","2025-12-03 12:42:46","en attente","Non"
"COSPA-3336","2025-12-03 12:23:54","en attente","Non"
"COSPA-3335","2025-12-03 12:17:43","en attente","Non"
"COSPA-3326","2025-12-03 11:08:18","en attente","Non"
"COSPA-3325","2025-12-03 11:07:24","en attente","Non"
"COSPA-3323","2025-12-03 10:59:24","en attente","Non"
"COSPA-3309","2025-12-03 09:59:21","en attente","Non"
"COSPA-3304","2025-12-03 09:32:18","en attente","Non"
"COSPA-3217","2025-12-02 13:37:17","en attente","Non"
"COSPA-3597","2025-12-05 10:37:50","en attente","Non"
"COSPA-3970","2025-12-08 15:52:55","en cours","Non"
"COSPA-3834","2025-12-08 07:37:05","en cours","Non"
"COSPA-3832","2025-12-08 07:19:53","en cours","Non"
"COSPA-3829","2025-12-08 06:49:42","en attente","Non"
"COSPA-3811","2025-12-07 17:42:52","en attente","Non"
"COSPA-3806","2025-12-07 16:07:51","en cours","Non"
"COSPA-3799","2025-12-07 14:08:51","en attente","Non"
"COSPA-3793","2025-12-07 12:07:52","en attente","Non"
"COSPA-3791","2025-12-07 11:30:26","en attente","Non"
"COSPA-3789","2025-12-07 11:24:52","en cours","Non"
"COSPA-3787","2025-12-07 11:16:49","en attente","Non"
"COSPA-3785","2025-12-07 10:54:00","en cours","Non"
"COSPA-3784","2025-12-07 10:51:11","en attente","Non"
"COSPA-3783","2025-12-07 10:36:58","en attente","Non"
"COSPA-3780","2025-12-07 10:25:54","en cours","Non"
"COSPA-3773","2025-12-07 09:33:18","en attente","Non"
"COSPA-3772","2025-12-07 09:27:53","en attente","Non"
"COSPA-3843","2025-12-08 08:30:51","en cours","Non"
"COSPA-3871","2025-12-08 09:55:22","en attente","Non"
"COSPA-3969","2025-12-08 15:42:58","en attente","Non"
"COSPA-3954","2025-12-08 14:29:10","en cours","Non"
"COSPA-3945","2025-12-08 14:02:31","en attente","Non"
"COSPA-3943","2025-12-08 13:53:09","en cours","Non"
"COSPA-3936","2025-12-08 13:40:17","en cours","Non"
"COSPA-3935","2025-12-08 13:36:44","en attente","Non"
"COSPA-3930","2025-12-08 13:13:49","en attente","Non"
"COSPA-3928","2025-12-08 13:08:49","en attente","Non"
"COSPA-3926","2025-12-08 12:52:34","en attente","Non"
"COSPA-3919","2025-12-08 11:47:43","en attente","Non"
"COSPA-3914","2025-12-08 11:34:43","en attente","Non"
"COSPA-3913","2025-12-08 11:31:06","en attente","Non"
"COSPA-3907","2025-12-08 11:13:08","en cours","Non"
"COSPA-3890","2025-12-08 10:41:22","en cours","Non"
"COSPA-3878","2025-12-08 10:16:26","en cours","Non"
"COSPA-3877","2025-12-08 10:07:22","en cours","Non"
"COSPA-3769","2025-12-07 08:11:13","en cours","Non"
"COSPA-3768","2025-12-07 08:02:56","en cours","Non"
"COSPA-3669","2025-12-05 16:02:52","en attente","Non"
"COSPA-3666","2025-12-05 15:49:53","en attente","Non"
"COSPA-3662","2025-12-05 15:15:52","en attente","Non"
"COSPA-3651","2025-12-05 14:28:55","en cours","Non"
"COSPA-3645","2025-12-05 14:09:50","en attente","Non"
"COSPA-3644","2025-12-05 14:07:20","en cours","Non"
"COSPA-3638","2025-12-05 13:41:49","en attente","Non"
"COSPA-3634","2025-12-05 13:30:22","en cours","Non"
"COSPA-3626","2025-12-05 13:02:15","en attente","Non"
"COSPA-3618","2025-12-05 12:10:53","en attente","Non"
"COSPA-3617","2025-12-05 12:02:53","en attente","Non"
"COSPA-3613","2025-12-05 11:30:20","en cours","Non"
"COSPA-3611","2025-12-05 11:25:57","en cours","Non"
"COSPA-3607","2025-12-05 11:08:51","en cours","Non"
"COSPA-3603","2025-12-05 10:55:54","en attente","Non"
"COSPA-3601","2025-12-05 10:47:55","en cours","Non"
"COSPA-3672","2025-12-05 16:17:50","en attente","Non"
